code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,good_company,good_price,成长指数,价值指数,股息率,成长指数,价值指数
600153,建发股份,商贸代理,福建,9.12,28.35,28.35,2624.54,2369.59,18.72,24.3,0.86,0.486,9.7,0.91,19980616,210.09,7.41,10.6,16.03,5.22,1.08,88885,4.5917,5,93.4672,98.3668,0.0584,93.4672,98.3668
600828,茂业商业,百货,四川,6.52,6.55,17.32,191.13,37.01,45.55,0.75,0.04,0.37,3.58,1.35,19940224,21.01,1.21,-3.34,14.67,30.12,10.31,22971,4.7667,4.7,95.0672,94.2668,0.0629,95.0672,94.2668
601997,贵阳银行,银行,贵州,5.02,30.7,32.18,5483.07,0,27.2,39.43,1.23,0.824,11.21,0.74,20160816,152.62,4.74,11.96,16.44,0,39.22,76187,4.5333,4.85,91.9328,95.7332,0.0348,91.9328,95.7332
69,华侨城Ａ,旅游景点,深圳,10.14,70.17,82.03,3346.03,2659.64,143.33,55.11,0.67,0.343,7.3,0.95,19970910,430.31,5.25,19.95,39.52,65.38,15.92,107230,4.2917,5,88.6672,97.1668,0.0441,88.6672,97.1668
2146,荣盛发展,全国地产,河北,6.04,38.94,43.48,2416.57,2238.3,46.21,50.1,1.15,0.677,7.99,1.02,20070808,202.86,4.67,25.65,31.05,30.44,12.09,69173,4.45,4.85,90.6,95.4,0.0555,90.6,95.4
2,万 科Ａ,全国地产,深圳,12.36,97.15,113.02,15770.57,13001.27,122.5,122,1.08,1.05,14.25,1.82,19910129,917.55,8.12,31.47,29.79,36.25,8.5,246844,4.7333,4.55,93.9328,91.7332,0.0405,93.9328,91.7332
600681,百川能源,供气供热,湖北,10.02,13.74,14.43,85.06,27.74,25.43,9.29,0.64,0.356,3.04,2.35,19931018,22.34,1.55,22.54,2.31,29.35,18.38,25220,4.7667,4.4,93.8672,89.4668,0.0506,93.8672,89.4668
600340,华夏幸福,区域地产,河北,4.71,29.55,30.02,4570.67,4145.38,51.75,18.92,0.63,2.78,12.95,2.05,20031230,329.68,10.98,10.74,22.44,48.73,21.9,76797,4.3,4.85,88.2,94.8,0.045,88.2,94.8
600048,保利地产,全国地产,广东,8.05,118.96,118.96,9330.97,8545.45,44.96,152.32,1.28,0.837,10.03,1.34,20060731,888.17,7.47,19.49,53.28,39.75,14,165287,4.5583,4.55,91.1328,91.0332,0.0372,91.1328,91.0332
600585,海螺水泥,水泥,安徽,7.11,40,52.99,1521.23,736.2,592.98,105.9,2,2.88,22.46,1.82,20020207,1003.49,18.94,56.63,17.91,32.45,21.3,93082,4.9167,4.15,95.2672,86.0668,0.0429,95.2672,86.0668
600348,阳泉煤业,煤炭开采,山西,6.13,24.05,24.05,446.96,129.63,198.72,-0.19,-0.01,0.442,7.08,0.77,20030821,107.62,4.47,-7.68,20.06,20.36,6.85,92493,4.0417,5,84.6672,96.1668,0.0533,84.6672,96.1668
601088,中国神华,煤炭开采,北京,7.95,164.91,198.9,5631.49,1799.39,2320.05,747.2,3.76,1.219,16.84,1.15,20071009,2139.53,10.76,-8.65,5.51,42.47,20.83,170237,4.75,4.3,93.2,87.8,0.0471,93.2,87.8
601668,中国建筑,建筑工程,北京,5.75,411.41,419.81,19338.69,13861.18,359.29,115.41,0.27,0.484,6.09,0.91,20090729,1781.03,4.24,16.38,6.12,10.13,2.96,558865,4.125,4.85,85.4,94.1,0.0307,85.4,94.1
600507,方大特钢,特种钢,江西,5.82,13.87,14.48,152.67,103.71,27.56,16.99,1.17,0.729,4.03,2.1,20030930,21.51,1.49,0.18,-19.19,26.31,12.79,87094,4.8167,4.15,93.6672,85.6668,0.2051,93.6672,85.6668
601166,兴业银行,银行,福建,5,190.52,207.74,69895.95,0,176.01,749.28,3.61,1.727,24.56,0.7,20070205,2724.36,13.11,22.51,6.6,0,39.91,225088,3.8667,5,81.8672,95.4668,0.0402,81.8672,95.4668
601838,成都银行,银行,四川,5.93,18.67,36.12,5341.53,0,9.89,61.56,1.7,0.693,8.98,0.92,20180131,139.23,3.85,12.41,17.98,0,41.01,97224,3.8667,5,81.8672,95.4668,0.0427,81.8672,95.4668
601398,工商银行,银行,北京,5.72,2696.12,3564.06,299904.78,0,2453.69,1519.69,0.43,0.471,6.77,0.8,20061027,12845.22,3.6,14.32,4.67,0,37.91,599370,3.8667,5,81.8672,95.4668,0.0465,81.8672,95.4668
603113,金能科技,化工原料,山东,9.29,3.32,6.76,65.76,27.75,21.22,17.84,2.64,0.58,7.78,1.39,20170511,25.1,3.71,3.43,-24.92,14.19,9.39,38140,4.3833,4.55,88.3328,90.3332,0.0224,88.3328,90.3332
601006,大秦铁路,铁路,山西,7.23,148.67,148.67,1449.89,280.4,772.14,238.98,1.61,0.541,7.23,1.08,20060801,547.54,3.68,8.15,-1.85,26.26,19.97,144018,4.6167,4.3,91.0672,87.2668,0.062,91.0672,87.2668
537,广宇发展,区域地产,天津,3.91,5.13,18.63,744.88,662.73,17.17,17.21,0.92,0.833,6.44,1.01,19931210,81.45,4.37,-14.23,-7.06,38.62,18.25,33665,4.1667,4.7,85.4672,91.8668,0.0207,85.4672,91.8668
600016,民生银行,银行,北京,4.07,354.62,437.82,63406.58,0,466.11,574.5,1.31,0.722,9.76,0.6,20001219,2096.22,4.79,17.02,6.77,0,35.83,395275,3.8,5,80.8,95.2,0.0594,80.8,95.2
601288,农业银行,银行,北京,4.91,2940.55,3499.83,239751.53,0,1479.69,1735.56,0.5,0.34,4.72,0.72,20100715,6733.96,1.92,5.51,4.88,0,37.58,436915,3.8,5,80.8,95.2,0.0511,80.8,95.2
601939,建设银行,银行,北京,5.58,95.94,2500.11,243831.5,0,1655.61,1345.37,0.54,0.617,8.22,0.84,20070925,10682.39,4.27,6.35,4.87,0,42.66,371377,3.8,5,80.8,95.2,0.0443,80.8,95.2
600743,华远地产,区域地产,北京,15.18,23.46,23.46,566.98,493.54,13.13,12.76,0.54,0.079,3.3,0.73,19960909,37.63,1.6,18.66,211.22,32.67,11.66,50602,3.7,5,79.2,94.8,0.0508,79.2,94.8
601818,光大银行,银行,北京,4.85,398.11,524.89,46470.2,0,183.32,535.33,1.02,0.389,6.35,0.6,20100818,1112.28,2.12,26.63,13.11,0,30.91,211102,3.6833,5,78.9328,94.7332,0.0428,78.9328,94.7332
601577,长沙银行,银行,湖南,5.52,3.42,34.22,5781.06,0,14.81,59,1.72,0.781,9.4,0.92,20180926,140.89,4.12,26.4,12.02,0,32.75,67000,3.8667,4.85,81.2672,93.0668,0.0331,81.2672,93.0668
